2025-07-13 18:44:15,628 - INFO - Train: [1/100][1/9]	eta 0:06:05	loss 0.0365	
2025-07-13 18:44:15,688 - INFO - Train: [1/100][2/9]	eta 0:03:17	loss 1.1796	
2025-07-13 18:44:15,744 - INFO - Train: [1/100][3/9]	eta 0:02:25	loss 0.2458	
2025-07-13 18:44:15,805 - INFO - Train: [1/100][4/9]	eta 0:02:03	loss 0.0753	
2025-07-13 18:44:15,870 - INFO - Train: [1/100][5/9]	eta 0:01:50	loss 0.2468	
2025-07-13 18:44:15,927 - INFO - Train: [1/100][6/9]	eta 0:01:40	loss 0.2561	
2025-07-13 18:44:15,982 - INFO - Train: [1/100][7/9]	eta 0:01:33	loss 0.1051	
2025-07-13 18:44:16,046 - INFO - Train: [1/100][8/9]	eta 0:01:29	loss 0.0145	
2025-07-13 18:44:16,073 - INFO - Train: [1/100][9/9]	eta 0:01:24	loss 0.0076	
2025-07-13 18:44:16,253 - INFO - Train: [2/100][1/9]	eta 0:01:29	loss 0.0629	
2025-07-13 18:44:16,314 - INFO - Train: [2/100][2/9]	eta 0:01:25	loss 0.1041	
2025-07-13 18:44:16,378 - INFO - Train: [2/100][3/9]	eta 0:01:24	loss 0.1065	
2025-07-13 18:44:16,438 - INFO - Train: [2/100][4/9]	eta 0:01:20	loss 0.0767	
2025-07-13 18:44:16,503 - INFO - Train: [2/100][5/9]	eta 0:01:19	loss 0.0518	
2025-07-13 18:44:16,564 - INFO - Train: [2/100][6/9]	eta 0:01:17	loss 0.0188	
2025-07-13 18:44:16,629 - INFO - Train: [2/100][7/9]	eta 0:01:15	loss 0.0122	
2025-07-13 18:44:16,695 - INFO - Train: [2/100][8/9]	eta 0:01:14	loss 0.0229	
2025-07-13 18:44:16,728 - INFO - Train: [2/100][9/9]	eta 0:01:13	loss 0.0252	
2025-07-13 18:44:16,925 - INFO - Train: [3/100][1/9]	eta 0:01:17	loss 0.0436	
2025-07-13 18:44:16,985 - INFO - Train: [3/100][2/9]	eta 0:01:16	loss 0.0453	
2025-07-13 18:44:17,048 - INFO - Train: [3/100][3/9]	eta 0:01:15	loss 0.0360	
2025-07-13 18:44:17,109 - INFO - Train: [3/100][4/9]	eta 0:01:13	loss 0.0327	
2025-07-13 18:44:17,169 - INFO - Train: [3/100][5/9]	eta 0:01:13	loss 0.0177	
2025-07-13 18:44:17,229 - INFO - Train: [3/100][6/9]	eta 0:01:12	loss 0.0121	
2025-07-13 18:44:17,287 - INFO - Train: [3/100][7/9]	eta 0:01:11	loss 0.0077	
2025-07-13 18:44:17,347 - INFO - Train: [3/100][8/9]	eta 0:01:10	loss 0.0174	
2025-07-13 18:44:17,380 - INFO - Train: [3/100][9/9]	eta 0:01:09	loss 0.0204	
2025-07-13 18:44:17,529 - INFO - Train: [4/100][1/9]	eta 0:01:10	loss 0.0262	
2025-07-13 18:44:17,591 - INFO - Train: [4/100][2/9]	eta 0:01:10	loss 0.0226	
2025-07-13 18:44:17,651 - INFO - Train: [4/100][3/9]	eta 0:01:09	loss 0.0213	
2025-07-13 18:44:17,712 - INFO - Train: [4/100][4/9]	eta 0:01:08	loss 0.0150	
2025-07-13 18:44:17,774 - INFO - Train: [4/100][5/9]	eta 0:01:08	loss 0.0133	
2025-07-13 18:44:17,834 - INFO - Train: [4/100][6/9]	eta 0:01:07	loss 0.0107	
2025-07-13 18:44:17,897 - INFO - Train: [4/100][7/9]	eta 0:01:07	loss 0.0131	
2025-07-13 18:44:17,958 - INFO - Train: [4/100][8/9]	eta 0:01:06	loss 0.0141	
2025-07-13 18:44:17,982 - INFO - Train: [4/100][9/9]	eta 0:01:06	loss 0.0118	
2025-07-13 18:44:18,170 - INFO - Train: [5/100][1/9]	eta 0:01:07	loss 0.0196	
2025-07-13 18:44:18,235 - INFO - Train: [5/100][2/9]	eta 0:01:07	loss 0.0139	
2025-07-13 18:44:18,295 - INFO - Train: [5/100][3/9]	eta 0:01:06	loss 0.0109	
2025-07-13 18:44:18,357 - INFO - Train: [5/100][4/9]	eta 0:01:06	loss 0.0174	
2025-07-13 18:44:18,417 - INFO - Train: [5/100][5/9]	eta 0:01:06	loss 0.0130	
2025-07-13 18:44:18,475 - INFO - Train: [5/100][6/9]	eta 0:01:05	loss 0.0099	
2025-07-13 18:44:18,537 - INFO - Train: [5/100][7/9]	eta 0:01:05	loss 0.0105	
2025-07-13 18:44:18,597 - INFO - Train: [5/100][8/9]	eta 0:01:04	loss 0.0144	
2025-07-13 18:44:18,623 - INFO - Train: [5/100][9/9]	eta 0:01:04	loss 0.0103	
2025-07-13 18:44:18,785 - INFO - Train: [6/100][1/9]	eta 0:01:05	loss 0.0121	
2025-07-13 18:44:18,846 - INFO - Train: [6/100][2/9]	eta 0:01:05	loss 0.0115	
2025-07-13 18:44:18,906 - INFO - Train: [6/100][3/9]	eta 0:01:04	loss 0.0168	
2025-07-13 18:44:18,969 - INFO - Train: [6/100][4/9]	eta 0:01:04	loss 0.0111	
2025-07-13 18:44:19,028 - INFO - Train: [6/100][5/9]	eta 0:01:04	loss 0.0142	
2025-07-13 18:44:19,093 - INFO - Train: [6/100][6/9]	eta 0:01:03	loss 0.0101	
2025-07-13 18:44:19,155 - INFO - Train: [6/100][7/9]	eta 0:01:03	loss 0.0125	
2025-07-13 18:44:19,215 - INFO - Train: [6/100][8/9]	eta 0:01:03	loss 0.0080	
2025-07-13 18:44:19,248 - INFO - Train: [6/100][9/9]	eta 0:01:03	loss 0.0082	
2025-07-13 18:44:19,432 - INFO - Train: [7/100][1/9]	eta 0:01:04	loss 0.0135	
2025-07-13 18:44:19,494 - INFO - Train: [7/100][2/9]	eta 0:01:03	loss 0.0089	
2025-07-13 18:44:19,556 - INFO - Train: [7/100][3/9]	eta 0:01:03	loss 0.0108	
2025-07-13 18:44:19,618 - INFO - Train: [7/100][4/9]	eta 0:01:03	loss 0.0128	
2025-07-13 18:44:19,678 - INFO - Train: [7/100][5/9]	eta 0:01:02	loss 0.0116	
2025-07-13 18:44:19,738 - INFO - Train: [7/100][6/9]	eta 0:01:02	loss 0.0122	
2025-07-13 18:44:19,799 - INFO - Train: [7/100][7/9]	eta 0:01:02	loss 0.0098	
2025-07-13 18:44:19,858 - INFO - Train: [7/100][8/9]	eta 0:01:02	loss 0.0109	
2025-07-13 18:44:19,886 - INFO - Train: [7/100][9/9]	eta 0:01:01	loss 0.0160	
2025-07-13 18:44:20,077 - INFO - Train: [8/100][1/9]	eta 0:01:03	loss 0.0087	
2025-07-13 18:44:20,137 - INFO - Train: [8/100][2/9]	eta 0:01:02	loss 0.0109	
2025-07-13 18:44:20,196 - INFO - Train: [8/100][3/9]	eta 0:01:02	loss 0.0142	
2025-07-13 18:44:20,235 - INFO - Train: [8/100][4/9]	eta 0:01:02	loss 0.0088	
2025-07-13 18:44:20,270 - INFO - Train: [8/100][5/9]	eta 0:01:01	loss 0.0117	
2025-07-13 18:44:20,306 - INFO - Train: [8/100][6/9]	eta 0:01:01	loss 0.0152	
2025-07-13 18:44:20,340 - INFO - Train: [8/100][7/9]	eta 0:01:00	loss 0.0130	
2025-07-13 18:44:20,373 - INFO - Train: [8/100][8/9]	eta 0:01:00	loss 0.0130	
2025-07-13 18:44:20,401 - INFO - Train: [8/100][9/9]	eta 0:00:59	loss 0.0138	
2025-07-13 18:44:20,517 - INFO - Train: [9/100][1/9]	eta 0:00:59	loss 0.0150	
