2025-07-13 18:38:00,547 - INFO - Train: [1/100][1/9]	eta 0:09:05	loss 0.2477	
2025-07-13 18:38:00,574 - INFO - Train: [1/100][2/9]	eta 0:04:43	loss 0.5312	
2025-07-13 18:38:00,602 - INFO - Train: [1/100][3/9]	eta 0:03:16	loss 0.2942	
2025-07-13 18:38:00,629 - INFO - Train: [1/100][4/9]	eta 0:02:33	loss 0.0364	
2025-07-13 18:38:00,661 - INFO - Train: [1/100][5/9]	eta 0:02:08	loss 0.0740	
2025-07-13 18:38:00,690 - INFO - Train: [1/100][6/9]	eta 0:01:51	loss 0.1578	
2025-07-13 18:38:00,725 - INFO - Train: [1/100][7/9]	eta 0:01:39	loss 0.1526	
2025-07-13 18:38:00,760 - INFO - Train: [1/100][8/9]	eta 0:01:31	loss 0.0708	
2025-07-13 18:38:00,807 - INFO - Train: [1/100][9/9]	eta 0:01:25	loss 0.0146	
2025-07-13 18:38:00,974 - INFO - Train: [2/100][1/9]	eta 0:01:31	loss 0.0139	
2025-07-13 18:38:01,012 - INFO - Train: [2/100][2/9]	eta 0:01:26	loss 0.0320	
2025-07-13 18:38:01,064 - INFO - Train: [2/100][3/9]	eta 0:01:22	loss 0.0628	
2025-07-13 18:38:01,093 - INFO - Train: [2/100][4/9]	eta 0:01:18	loss 0.0566	
2025-07-13 18:38:01,124 - INFO - Train: [2/100][5/9]	eta 0:01:14	loss 0.0621	
2025-07-13 18:38:01,155 - INFO - Train: [2/100][6/9]	eta 0:01:11	loss 0.0320	
2025-07-13 18:38:01,183 - INFO - Train: [2/100][7/9]	eta 0:01:08	loss 0.0239	
2025-07-13 18:38:01,219 - INFO - Train: [2/100][8/9]	eta 0:01:06	loss 0.0098	
2025-07-13 18:38:01,258 - INFO - Train: [2/100][9/9]	eta 0:01:04	loss 0.0212	
2025-07-13 18:38:01,312 - INFO - Train: [3/100][1/9]	eta 0:01:03	loss 0.0312	
2025-07-13 18:38:01,339 - INFO - Train: [3/100][2/9]	eta 0:01:01	loss 0.0371	
2025-07-13 18:38:01,372 - INFO - Train: [3/100][3/9]	eta 0:00:59	loss 0.0402	
2025-07-13 18:38:01,402 - INFO - Train: [3/100][4/9]	eta 0:00:58	loss 0.0209	
2025-07-13 18:38:01,431 - INFO - Train: [3/100][5/9]	eta 0:00:56	loss 0.0147	
2025-07-13 18:38:01,460 - INFO - Train: [3/100][6/9]	eta 0:00:55	loss 0.0134	
2025-07-13 18:38:01,497 - INFO - Train: [3/100][7/9]	eta 0:00:54	loss 0.0153	
2025-07-13 18:38:01,524 - INFO - Train: [3/100][8/9]	eta 0:00:53	loss 0.0171	
2025-07-13 18:38:01,547 - INFO - Train: [3/100][9/9]	eta 0:00:51	loss 0.0116	
2025-07-13 18:38:01,625 - INFO - Train: [4/100][1/9]	eta 0:00:52	loss 0.0158	
2025-07-13 18:38:01,659 - INFO - Train: [4/100][2/9]	eta 0:00:51	loss 0.0199	
2025-07-13 18:38:01,694 - INFO - Train: [4/100][3/9]	eta 0:00:50	loss 0.0146	
2025-07-13 18:38:01,724 - INFO - Train: [4/100][4/9]	eta 0:00:49	loss 0.0110	
2025-07-13 18:38:01,752 - INFO - Train: [4/100][5/9]	eta 0:00:49	loss 0.0097	
2025-07-13 18:38:01,782 - INFO - Train: [4/100][6/9]	eta 0:00:48	loss 0.0088	
2025-07-13 18:38:01,809 - INFO - Train: [4/100][7/9]	eta 0:00:47	loss 0.0089	
2025-07-13 18:38:01,843 - INFO - Train: [4/100][8/9]	eta 0:00:47	loss 0.0170	
2025-07-13 18:38:01,871 - INFO - Train: [4/100][9/9]	eta 0:00:46	loss 0.0138	
