DateTime,Global_active_power,Global_reactive_power,Sub_metering_1,Sub_metering_2,Sub_metering_3,Sub_metering_remainder,Voltage,Global_intensity,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
2006-12-16,1209.176,34.922,0.0,546.0,4926.0,14680.933333333332,236.24376262626262,13.082828282828283,63.75,9.333,5.667,2.167,0.167
2006-12-17,3390.46,226.006,2033.0,4187.0,13341.0,36946.666666666664,240.0870277777778,9.999027777777778,63.75,9.333,5.667,2.167,0.167
2006-12-18,2203.826,161.792,1063.0,2621.0,14018.0,19028.433333333334,241.23169444444446,6.421666666666667,63.75,9.333,5.667,2.167,0.167
2006-12-19,1666.194,150.942,839.0,7602.0,6197.0,13131.9,241.9993125,4.926388888888889,63.75,9.333,5.667,2.167,0.167
2006-12-20,2225.748,160.998,0.0,2648.0,14063.0,20384.8,242.30806249999998,6.467361111111111,63.75,9.333,5.667,2.167,0.167
2006-12-21,1718.8460293975336,144.40105418629025,1767.3441656095933,2625.923644128433,10432.890865205882,13821.275148348319,241.03915652418647,5.033370807020669,63.75,9.333,5.667,2.167,0.167
2006-12-22,2341.338,186.906,3151.0,350.0,11131.0,24390.3,241.1845486111111,6.872916666666667,63.75,9.333,5.667,2.167,0.167
2006-12-23,4773.386,221.47,2669.0,425.0,14726.0,61736.433333333334,240.1360763888889,14.028055555555557,63.75,9.333,5.667,2.167,0.167
2006-12-24,2550.012,149.9,1703.0,5082.0,6891.0,28824.2,241.6874375,7.640416666666667,63.75,9.333,5.667,2.167,0.167
2006-12-25,2743.12,240.28,6620.0,1962.0,5795.0,31341.666666666668,243.39993055555558,7.951527777777779,63.75,9.333,5.667,2.167,0.167
2006-12-26,3934.11,165.102,1086.0,2533.0,14979.0,46970.5,241.6254375,11.347916666666666,63.75,9.333,5.667,2.167,0.167
2006-12-27,1528.76,178.902,0.0,314.0,6976.0,18189.333333333332,243.76736111111111,4.5175,63.75,9.333,5.667,2.167,0.167
2006-12-28,2072.638,208.876,2207.0,4419.0,9176.0,18741.966666666667,243.26833333333335,6.086250000000001,63.75,9.333,5.667,2.167,0.167
2006-12-29,3174.392,196.394,1252.0,5162.0,11329.0,35163.53333333333,240.87130555555555,9.271388888888888,63.75,9.333,5.667,2.167,0.167
2006-12-30,2791.5240293975335,312.16305418629025,3074.3441656095933,7893.923644128433,12491.890865205882,23065.241815014986,240.5399898575198,8.287259695909556,63.75,9.333,5.667,2.167,0.167
2006-12-31,3494.196,150.852,0.0,347.0,6502.0,51387.6,239.8965763888889,10.199583333333333,63.75,9.333,5.667,2.167,0.167
2007-01-01,2749.004,148.166,0.0,352.0,5880.0,39584.73333333333,240.12897916666665,7.916944444444444,28.36,10.2,0.6,0.0,0.0
2007-01-02,1269.236,190.342,0.0,348.0,6562.0,14243.933333333332,241.94377777777777,3.7140277777777775,28.36,10.2,0.6,0.0,0.0
2007-01-03,1014.054,196.728,0.0,344.0,4765.0,11791.9,243.5570902777778,3.0140277777777778,28.36,10.2,0.6,0.0,0.0
2007-01-04,3259.412,202.302,1051.0,7597.0,10896.0,34779.53333333333,239.7502986111111,9.478194444444444,28.36,10.2,0.6,0.0,0.0
2007-01-05,2713.364,173.154,1483.0,379.0,7602.0,35758.73333333333,240.49576388888892,7.885138888888889,28.36,10.2,0.6,0.0,0.0
2007-01-06,1508.378,192.188,1336.0,402.0,5678.0,17723.633333333335,239.67305555555555,4.543888888888889,28.36,10.2,0.6,0.0,0.0
2007-01-07,2447.62,246.074,1987.0,8177.0,12810.0,17819.666666666668,240.90248611111113,7.282638888888889,28.36,10.2,0.6,0.0,0.0
2007-01-08,2241.36,207.568,0.0,467.0,17547.0,19342.0,239.5769513888889,6.551666666666667,28.36,10.2,0.6,0.0,0.0
2007-01-09,1869.054,207.248,1688.0,4267.0,9790.0,15405.9,240.48752083333335,5.521111111111111,28.36,10.2,0.6,0.0,0.0
2007-01-10,2154.8,228.452,771.0,4456.0,11012.0,19674.333333333332,241.02745138888892,6.357777777777779,28.36,10.2,0.6,0.0,0.0
2007-01-11,2255.194,230.02,1378.0,2170.0,12415.0,21623.566666666666,241.1556875,6.658333333333333,28.36,10.2,0.6,0.0,0.0
2007-01-12,1461.296,199.14,0.0,439.0,8276.0,15639.933333333332,241.53820833333336,4.309166666666666,28.36,10.2,0.6,0.0,0.0
2007-01-13,3186.814,290.736,7806.0,2975.0,11341.0,30991.566666666666,239.28361111111113,9.453055555555554,28.36,10.2,0.6,0.0,0.0
2007-01-14,3008.927014698767,227.23752709314513,1778.1720828047967,4216.461822064217,12980.94543260294,31173.204240840827,238.82269284542656,8.96536595906589,28.36,10.2,0.6,0.0,0.0
2007-01-15,2148.678,174.86,1099.0,2239.0,15163.0,17310.3,241.2409097222222,6.261527777777778,28.36,10.2,0.6,0.0,0.0
2007-01-16,1686.404,185.428,2063.0,644.0,6583.0,18816.733333333334,241.94475694444446,4.975972222222222,28.36,10.2,0.6,0.0,0.0
2007-01-17,2847.688,200.752,3500.0,5737.0,16064.0,22160.466666666667,241.00525,8.283888888888889,28.36,10.2,0.6,0.0,0.0
2007-01-18,1821.462,177.712,0.0,336.0,13491.0,16530.7,240.89359722222224,5.3425,28.36,10.2,0.6,0.0,0.0
2007-01-19,1480.44,170.052,2103.0,330.0,7172.0,15069.0,240.16094444444445,4.37625,28.36,10.2,0.6,0.0,0.0
2007-01-20,3133.732,238.362,4324.0,5222.0,11440.0,31242.866666666665,238.8674722222222,9.348055555555556,28.36,10.2,0.6,0.0,0.0
2007-01-21,3407.262,229.736,10346.0,5567.0,11599.0,29275.7,238.96811805555558,10.190694444444444,28.36,10.2,0.6,0.0,0.0
2007-01-22,2180.494,168.642,1054.0,2983.0,11361.0,20943.566666666666,241.60313194444444,6.355277777777778,28.36,10.2,0.6,0.0,0.0
2007-01-23,1777.64,138.28,0.0,1064.0,5061.0,23502.333333333332,242.76255555555556,5.260833333333333,28.36,10.2,0.6,0.0,0.0
2007-01-24,2987.854,178.06,3464.0,2480.0,11744.0,32109.566666666666,241.45769444444446,8.733611111111111,28.36,10.2,0.6,0.0,0.0
2007-01-25,1596.344,144.16,1158.0,262.0,11239.0,13946.733333333334,243.42436111111112,4.629305555555556,28.36,10.2,0.6,0.0,0.0
2007-01-26,1617.972,142.902,1163.0,261.0,8238.0,17304.2,242.77179166666667,4.721388888888889,28.36,10.2,0.6,0.0,0.0
2007-01-27,2044.072,148.242,1170.0,3896.0,12374.0,16627.866666666665,241.61656944444442,5.949861111111111,28.36,10.2,0.6,0.0,0.0
2007-01-28,3091.315014698767,153.46952709314513,3467.172082804797,3998.4618220642164,12050.94543260294,32005.33757417416,240.3046025676488,9.130643736843668,28.36,10.2,0.6,0.0,0.0
2007-01-29,1982.664,165.696,1123.0,294.0,15254.0,16373.4,240.9295972222222,5.788888888888889,28.36,10.2,0.6,0.0,0.0
