Day,Actual,Predicted
1,1406.6919,1670.98
2,2327.51,1658.1741
3,1913.496,1832.0597
4,1939.994,1901.986
5,1603.9999,1873.2001
6,1689.8619,1818.4146
7,2080.272,1796.462
8,1633.2699,1868.693
9,1788.7019,1836.4927
10,2102.948,1832.0481
11,1975.988,1897.8209
12,1589.278,1909.7493
13,2182.5999,1825.1162
14,1781.792,1905.7705
15,1564.068,1887.9915
16,2766.554,1842.0669
17,3317.8198,2054.6423
18,3154.1938,2245.766
19,1699.8658,2404.4739
20,1738.028,2207.1113
21,1739.434,2099.9043
22,1237.356,2015.1409
23,1910.5359,1843.8885
24,2200.77,1871.1567
25,2843.6638,1945.482
26,1674.4719,2085.3162
27,1425.0299,1964.8801
28,2721.7341,1854.2252
29,1573.698,2016.789
30,2059.0378,1890.1083
31,3312.852,1940.4263
32,1827.752,2250.4736
33,1603.3,2059.991
34,1868.3899,1925.6422
35,2460.924,1894.314
36,1649.088,1968.5778
37,2048.396,1884.9764
38,3131.536,1905.8381
39,2182.866,2177.1443
40,1706.638,2183.611
41,1943.822,2057.4578
42,2639.39,2023.1003
43,1968.6599,2106.8076
44,1690.022,2042.6929
45,2335.33,1952.6707
46,1586.0319,2031.4156
47,1318.994,1920.1047
48,793.50604,1779.4276
49,826.45,1572.5662
50,737.268,1423.1733
51,1880.736,1289.672
52,1316.184,1417.3606
53,2238.478,1392.1855
54,2733.656,1542.5266
55,1783.1439,1729.6969
56,1169.844,1732.5043
57,1156.852,1636.2347
58,2028.918,1545.1418
59,1630.75,1657.0012
60,2472.5542,1630.0814
61,1477.442,1861.4009
62,1848.952,1744.1577
63,1842.13,1766.5732
64,1441.8119,1776.6039
65,1783.474,1697.8627
66,1696.4661,1726.5211
67,2357.166,1731.9222
68,1685.5559,1901.237
69,1836.2098,1837.7336
70,2405.904,1822.5907
71,1887.26,1937.5643
72,1445.5199,1904.2902
73,2149.0278,1828.2953
74,1942.0619,1918.0093
75,1338.042,1915.6628
76,1931.91,1777.7917
77,1450.6799,1804.4421
78,1191.532,1727.9858
79,1463.9059,1622.3685
80,1930.022,1609.4095
81,1689.1699,1716.0127
82,1296.4501,1691.6317
83,1661.712,1607.7789
84,1838.7739,1637.4259
85,1211.0039,1690.3695
86,1713.9259,1585.2262
87,2260.976,1622.5437
88,2216.65,1772.8385
89,1477.452,1818.1234
90,1823.4819,1748.2786
91,1641.14,1778.6342
92,1644.3339,1777.8934
93,1363.26,1770.1024
94,2191.232,1690.3326
95,1375.7161,1814.6053
96,1452.6339,1740.3383
97,1440.0919,1680.5726
98,1534.6,1640.2346
99,1890.4719,1627.7948
100,1842.1139,1696.8138
101,2462.446,1727.9807
102,2141.012,1880.3036
103,1599.924,1953.954
104,1501.538,1812.9661
105,1216.062,1721.8522
106,1564.524,1609.0132
107,2042.8099,1605.4076
108,1512.266,1637.4324
109,1286.4679,1602.9569
110,1486.5099,1560.4204
111,1894.598,1540.544
112,1496.198,1606.6189
113,1141.4601,1595.821
114,1194.0481,1506.9951
115,2022.2839,1454.0111
116,1781.626,1569.4583
117,1351.6279,1610.7412
118,1706.386,1543.9266
119,1664.6799,1596.207
120,1834.7618,1606.1389
121,1512.802,1667.4487
122,1393.9099,1623.6073
123,1608.8779,1575.6138
124,1667.882,1582.2988
125,1731.474,1581.9457
126,1349.902,1585.2018
127,1012.648,1526.9734
128,1857.156,1421.2749
129,1261.352,1530.2858
130,1967.634,1480.3733
131,1517.1759,1573.4666
132,1625.956,1535.4269
133,1246.398,1530.1528
134,1606.9839,1473.7407
135,1422.226,1479.742
136,2007.378,1478.7509
137,1543.7639,1571.3389
138,1209.906,1556.8939
139,1617.344,1477.785
140,1307.162,1524.049
141,1575.1499,1466.4553
